"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0.99864487004586,8.6649342145874e-05,5.20885286548944e-06,3.15986738725135e-05,0.000153842911757473,5.68411095843302e-06,0.000832744938420363,1.29712231723206e-06,3.37267545649833e-05,1.73987343462367e-05,1.45316250637761e-05,5.90164982918725e-07,3.9104555999431e-07,4.0856027294187e-06,2.49038842773743e-06,4.33191334015386e-07,1.85688996829945e-05,3.82984217783376e-07,1.24211845903707e-05,0.000133083426302215
0.000423897968822867,0.986162183455982,1.45101489708031e-05,0.00985612040312051,0.000172888638480486,4.33142613902822e-05,0.000328685171708634,3.62836345595106e-06,3.07550847948477e-05,0.000646363497614463,0.00115760125382289,1.96602862072747e-06,1.36313718240843e-06,1.17430557179585e-05,6.46216656045308e-06,1.40725773266467e-06,3.66647233194853e-05,1.34846127192165e-06,2.4581668313185e-05,0.00107451525311783
2.0204177211282e-05,6.80724740282868e-06,0.839149153288558,2.73143086289846e-06,0.000127566383519288,1.18040118430797e-06,2.87964441032114e-05,1.83412790127675e-05,0.000452366725185506,1.74081790470176e-06,1.72072184778603e-06,4.71267598200173e-06,2.2547307320938e-06,0.151528422414063,0.000778212263775543,2.00337074338174e-06,0.00214435441813497,2.14218613267038e-06,0.00571097238067751,1.63166429661731e-05
0.000262404687509621,0.00464544673846163,6.57077242897519e-06,0.946398995212062,5.57308836923558e-05,6.29206664381713e-05,0.000125423955486747,2.34310861127955e-06,1.44375726541194e-05,0.00477971423861006,0.0434445462917949,1.37033759900929e-06,9.93434920046482e-07,5.57744834346478e-06,3.48724658126659e-06,1.03308335110032e-06,1.44417621875776e-05,9.74507470561719e-07,1.00965297512436e-05,0.000163491522045379
0.00120801340781177,9.76395855912504e-05,0.000118056735208858,2.44573988468838e-05,0.964910044767063,5.16697939026075e-06,0.0299808798717641,7.53856713733376e-06,0.000735594043659645,1.12298573348587e-05,1.17216724508862e-05,2.91695756872761e-06,1.74956804162473e-06,7.49905053431263e-05,2.68170625155068e-05,1.79528249945234e-06,0.00174851324544765,1.7533284594655e-06,0.000299150180762229,0.000731970983102904
2.35519549085903e-06,2.85062985387937e-06,1.49252207679427e-07,6.24835175022728e-06,5.30588250703765e-07,0.999950094970181,9.11551627545104e-07,9.58514052601774e-08,3.41289321065931e-07,2.57773352208244e-05,8.9716843693846e-06,6.54812459042303e-08,5.5357225195417e-08,1.32805011682235e-07,1.08673396728601e-07,6.40346800137397e-08,2.40574131598028e-07,5.26845945004114e-08,2.26180726363418e-07,7.27509310019329e-07
4.59762954291902e-06,4.98874381818229e-06,2.77520671888262e-07,1.0115888229676e-05,1.01477362660718e-06,0.999919988078418,1.76559642894069e-06,1.84048152992615e-07,6.60099580900726e-07,3.93317850222903e-05,1.39143732323607e-05,1.27002587230468e-07,1.08550546901694e-07,2.47213713522538e-07,2.04621904347378e-07,1.27006141208354e-07,4.5557644085066e-07,1.03482881942086e-07,4.25979686578704e-07,1.36202937266609e-06
2.1794370690475e-05,6.74257235132426e-06,0.929763123080887,2.67689857704249e-06,0.0001436267507681,1.20141250523096e-06,3.26423525018522e-05,1.94291612178313e-05,0.000604878791878926,1.74139564646303e-06,1.69280801505383e-06,4.94329786145334e-06,2.4137733078497e-06,0.0606198802202321,0.000670743736805858,2.19982804338665e-06,0.00261655607807513,2.28700299104546e-06,0.00546473865719233,1.66878104515113e-05
2.20097424720898e-05,6.79473279503798e-06,0.961082295237094,2.64356281452483e-06,0.000146443240494365,1.18292122645043e-06,3.22320177150585e-05,1.50836853091338e-05,0.000623633988499725,1.72237753955098e-06,1.66798528727558e-06,3.88667465263434e-06,1.91955117382029e-06,0.0241970918216701,0.000518708989700221,1.77864446318837e-06,0.00212983294312843,1.82991894657093e-06,0.0111925059316891,1.67360333283593e-05
0.000624576477913057,4.87791919572866e-05,9.68786293757208e-06,1.09054527669004e-05,0.0041263082981424,1.69704716709192e-06,0.994745132647731,1.18344191307419e-06,5.15969461355835e-05,4.56123970932917e-06,4.75152657154531e-06,5.06764729325241e-07,3.22640084126791e-07,6.73904087412223e-06,3.05894110013317e-06,3.40200219980122e-07,6.60043699629287e-05,3.21687601860254e-07,2.37280366466639e-05,0.000269798185836286
