"x"
1
2
3
4
5
6
6
3
3
7
8
8
9
10
11
11
2
8
12
13
10
3
14
2
15
14
11
13
10
6
10
14
11
14
8
16
12
17
4
4
12
13
15
18
10
5
2
3
9
8
13
3
15
12
7
14
13
6
5
5
17
18
12
7
14
17
11
18
17
11
11
14
16
12
17
4
2
3
19
13
17
3
4
4
11
1
11
13
11
18
6
11
3
16
14
8
16
17
7
12
18
16
4
4
12
15
13
1
6
10
18
17
19
8
12
3
3
18
12
6
19
6
2
2
6
16
5
5
3
11
9
6
10
14
6
4
18
18
18
14
14
7
18
12
20
