128;"Behorlegi";43.1286429;-1.117835
129;"Arboti";43.3715339;-1.001539
130;"Garruze";43.340577;-1.058677
131;"Jutsi";43.235751;-1.046747
132;"Larzabale";43.2313088756496;-1.09259440673827
133;"Bastida";43.4286806950741;-1.25585314873047
134;"Pagola";43.2239903731539;-0.989383324560549
135;"Domintxaine";43.326329;-0.965706
136;"Urdinarbe";43.18658;-0.944946
137;"Altzuruku";43.149463;-0.93364
138;"Larraine";43.018757;-0.955718
139;"Altzai";43.0950713531587;-0.908124775000033
140;"Sohuta";43.230807;-0.869623
141;"Montori";43.097257;-0.819006
142;"Santa Grazi";43.0148627878769;-0.853826691406312
143;"Urrustoi";43.2923223150834;-0.850649420263608
144;"Barkoxe";43.189004;-0.769507
145;"Eskiula";43.194095;-0.708223
