"x"
1
2
3
4
1
5
5
3
3
1
6
6
7
5
4
4
2
6
6
8
4
3
9
2
10
9
4
8
4
5
4
9
4
3
10
6
6
7
4
4
6
8
10
8
5
1
2
3
7
6
8
3
10
6
1
3
8
5
1
7
7
8
6
1
9
7
4
8
3
4
4
10
8
6
7
4
2
3
7
8
7
3
4
4
4
2
4
8
4
8
5
4
3
8
10
6
8
7
1
6
8
8
2
4
6
10
8
1
5
4
8
7
3
6
6
3
9
8
6
5
9
5
2
2
5
8
1
1
3
4
7
4
4
10
5
4
8
8
8
10
9
1
8
8
1
